nct_id,pubmed_id,trial_info,doc_info,label
NCT03856411,27919259,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: A Phase III, Randomized, Double-blind, Placebo-controlled, Multi-center Clinical Study to Evaluate the Efficacy and Safety of Toripalimab Injection (JS001) or Placebo Combined With First-line Standard Chemotherapy in Treatment-naive Advanced Non-small Cell Lung Cancer (NSCLC) | abstract: This is one randomized, double-blind, placebo-controlled, multi-center, phase III clinical study to evaluate the efficacy and safety of Toripalimab injection (JS001) or placebo combined with standard 1st-line chemotherapy in treatment-naïve advanced non-small cell lung cancer (NSCLC); and evaluate the population with the best predictive biomarkers, i.e., positive diagnosis population.~About 450 subjects with advanced non-small cell lung cancer without activated EGFR mutation (exon 19 deletion, or exon 21 L858R, exon 21 L861Q, exon 18 G719X or exon 20 S768I mutations) and ALK fusion will be 2:1 randomized into two groups, JS001 combined with the standard 1st-line chemotherapy will be given in the study group whereas placebo combined with standard 1st-line chemotherapy will be given in the control group. The stratification will be based on the following factors:~PD-L1 expression (TC≥1% vs TC\<1%); Smoking state (often smoking vs no smoking or infrequent smoking); Pathological type (squamous cell carcinoma vs non-squamous cell carcinoma). | sponsor: Shanghai Junshi Bioscience Co., Ltd. | start_year: 2019.0 | drug_moa_id: -1.0 | drug_name: TORIPALIMAB INJECTION (JS001 ) combine with chemotherapy | drug_description: TORIPALIMAB INJECTION(JS001 ) or Placebo ,240mg/6ml/vial, Q3W,up to 2 years of treatment. | adverse_event_name:  | adverse_event_description:  | intervention_type: DRUG | group_type: PLACEBO_COMPARATOR | intervention_name: TORIPALIMAB INJECTION (JS001 ) combine with chemotherapy | intervention_description: TORIPALIMAB INJECTION(JS001 ) or Placebo ,240mg/6ml/vial, Q3W,up to 2 years of treatment.",study_source: PubMed | population: Eighty patients with mild-to-severe symptomatic hallux valgus (HV) | interventions: Minimally invasive surgery with Reverdin-Isham and Akin percutaneous osteotomy | outcomes: Mean AOFAS score was 87.15 points at 48 months follow-up. | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:,0
NCT00420225,18716704,study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: Low-Weight Polypropylene Mesh for Anterior Vaginal Wall Prolapse: A Prospective Randomized Study | abstract: The purpose of this study is to determine whether reenforcement with polypropylen mesh compared with traditional anterior colporrhaphy for anterior vaginal wall prolapse results in fewer recurrences. | sponsor: Tampere University | start_year: 2003.0 | drug_moa_id:  | drug_name:  | drug_description:  | adverse_event_name:  | adverse_event_description:  | intervention_type:  | group_type:  | intervention_name:  | intervention_description:,study_source: PubMed | population: Ninety-seven patients undergoing anterior colporrhaphy (no mesh) and 105 patients undergoing anterior colporrhaphy with polypropylene mesh. The population includes women with symptoms related to anterior vaginal wall prolapse. | interventions: Polypropylene mesh | outcomes: Sensation of vaginal bulge reported less frequently in the mesh group: 5 vs 17 (p = 0.003). | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:,1
NCT03493425,30741813,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: Phase II Randomized Trial of Neo-Adjuvant Chemotherapy Followed by Surgery and Post-Operative Radiation Versus Surgery and Post-Operative Radiation for Organ Preservation of T3 and T4a Nasal and Paranasal Sinus Squamous Cell Carcinoma (NPNSCC) | abstract: This randomized phase II trial studies how well chemotherapy before surgery and radiation therapy works compared to surgery and radiation therapy alone in treating patients with nasal and paranasal sinus cancer that can be removed by surgery. Drugs used in chemotherapy, such as docetaxel, cisplatin, and carboplatin work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Radiation therapy uses high-energy x-rays to kill tumor cells and shrink tumors. Giving chemotherapy before surgery and radiation therapy may make the tumor smaller and reduce the amount of normal tissue that needs to be removed and treated with radiation. | sponsor: ECOG-ACRIN Cancer Research Group | start_year: 2019.0 | drug_moa_id: -1.0 | drug_name: Carboplatin | drug_description: Given IV | adverse_event_name:  | adverse_event_description:  | intervention_type: DRUG | group_type: ACTIVE_COMPARATOR | intervention_name: Carboplatin | intervention_description: Given IV","study_source: PubMed | population: Women undergoing pelvic organ prolapse surgery, 204 enrolled, mean age 66±10 years, predominantly Caucasian (96%) and postmenopausal (96%) | interventions: IV acetaminophen (1,000 mg) | outcomes: Mean change from baseline pain scores at 24 hours: 25±26 mm | group_type: EXPERIMENTAL | primary_endpoint: mean change from baseline pain scores at 24 hours | primary_endpoint_domain: Physiological/clinical | primary_endpoint_subdomain: General outcomes",0
NCT00699517,25864104,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: A Multinational, Randomized, Double-blind Placebo Controlled Study of AVE8062 (25 mg/m2) Administered Every 3 Weeks in Patients With Advanced-stage Soft Tissue Sarcoma, Treated With Cisplatin (75 mg) After Failure of Anthracycline and Ifosfamide Chemotherapies. | abstract: The primary objective of the study is to compare the progression-free survival (PFS) in the 2 treatment arms~The secondary objectives of the study are :~* To compare the overall survival in the 2 treatment arms~* To compare the objective response rate in the 2 treatment arms~* To assess the safety profile of AVE8062 (in combination with the background cisplatin therapy)~* To assess the pharmacokinetics of AVE8062 and its main metabolite, RPR258063, using a population approach, in all patients enrolled in selected centers. | sponsor: Sanofi | start_year: 2008.0 | drug_moa_id: -1.0 | drug_name: OMBRABULIN (AVE8062) | drug_description: I.V. infusion followed by administration of cisplatin | adverse_event_name:  | adverse_event_description:  | intervention_type: DRUG | group_type: EXPERIMENTAL | intervention_name: OMBRABULIN (AVE8062) | intervention_description: I.V. infusion followed by administration of cisplatin","study_source: PubMed | population: Patients aged 18 years and older with metastatic soft-tissue sarcomas, an Eastern Cooperative Oncology Group performance status of 0-2, who had previously received treatment with anthracycline and ifosfamide. Total population size was 355 patients (n=176 in ombrabulin group, n=179 in placebo group). | interventions: Ombrabulin plus cisplatin (25 mg/m2 plus 75 mg/m2 every 3 weeks) | outcomes: Median progression-free survival was 1.54 months (95% CI 1.45-2.69) with a hazard ratio of 0.76 (95% CI 0.59-0.98); p=0.0302. | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:",1
NCT00637741,26369333,study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: Physician Initiated Trial Investigating the Efficacy of the Implant of EverFlex 200mm Long Nitinol Stents in TASC C&D Femoropopliteal Lesions | abstract: The objective of this clinical investigation is to evaluate the long-term (up to 12 months) outcome of the 200 mm long self-expanding nitinol EverFlex (ev3) stent in long femoropopliteal lesions (TASC C \& D) Is is the first time that the use of 200 mm long stents will be evaluated in these lesions. It is expected that the outcome of the treatment with this type of long stents will be better as the treatment of identical lesions lengths with multiple shorter stents. | sponsor: Flanders Medical Research Program | start_year: 2008.0 | drug_moa_id:  | drug_name:  | drug_description:  | adverse_event_name:  | adverse_event_description:  | intervention_type: DEVICE | group_type: EXPERIMENTAL | intervention_name: Everflex 200 | intervention_description:,study_source: PubMed | population: 145 people aged 50‐75 years with symptomatic‐radiographic knee osteoarthritis (OA) | interventions: Low-level laser therapy (LLLT) and static stretching (LLLT+Stretch) | outcomes: Primary outcome: pain measured by Visual Analogue Scale. | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:,0
NCT01093807,31552171,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: Randomized, Parallel Group, Double-blind Trial to Evaluate Different Dose Combinations of Lercanidipine and Enalapril in Comparison With Each Component Administered Alone and With Placebo in Patients With Essential Hypertension | abstract: The purpose of this study is to evaluate the efficacy and safety of various dosage combinations of lercanidipine (10 and 20 mg)and enalapril (10 and 20 mg) in comparison with their respective components and with placebo. | sponsor: RECORDATI GROUP | start_year: 2010.0 | drug_moa_id: 4157.0 | drug_name: Lercanidipine | drug_description: 10 mg once daily for 10 weeks | adverse_event_name:  | adverse_event_description:  | intervention_type: DRUG | group_type: PLACEBO_COMPARATOR | intervention_name: Placebo | intervention_description: once daily for 10 weeks",study_source: PubMed | population: Mucosal melanoma patients | interventions: Radiotherapy combined with Pembrolizumab | outcomes: Local tumor control outcomes were not specified in the abstract. | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:,0
NCT02110654,28870448,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: Comparison of Daily Mometasone Furoate Nasal Spray Alone Versus a Combination With Montelukast for Treatment of Chronic Rhinosinusitis With Asthma After Functional Endoscopic Sinus Surgery: a 9-month Randomized, Open-label, Controlled Study | abstract: 1. objectives. To compare the efficacy and the safety of mometasone furoate nasal spray (MFNS; Nasonex 200μg, daily) alone versus a combination with montelukast (singulair 10mg, daily) in chronic rhinosinusitis (CRS) with asthma after functional endoscopic sinus surgery (FESS) for improvement the clinical control of CRS~2. the clinical hypotheses. The investigators hypothesize that postoperative combined montelukast and MFNS can better improve clinical control of CRS concomitant with asthma after FESS compared with MFNS alone.~3. study design This study is a 9-month randomized, open-label, controlled interventional study. | sponsor: First Affiliated Hospital, Sun Yat-Sen University | start_year: 2014.0 | drug_moa_id: 1836.0 | drug_name: Montelukast | drug_description:  | adverse_event_name:  | adverse_event_description:  | intervention_type: DRUG | group_type: ACTIVE_COMPARATOR | intervention_name: Montelukast | intervention_description:","study_source: PubMed | population: Patients with chronic rhinosinusitis with nasal polyps (CRSwNP), total N = 42 (asthma, n = 17; asymptomatic airway hyperresponsiveness (AHR), n = 11; non-AHR, n = 14), 11 patients with chronic rhinosinusitis without nasal polyps (CRSsNP), and 13 controls. | interventions: Nasal IL-25 protein level in NP tissues | outcomes: Significantly increased compared to control sinonasal tissues from patients with CRSwNP, CRSsNP, and controls. | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:",1
NCT04024514,25646330,study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: Development of Renal Protection Protocol Using Low Dose Contrast Media and Spectral Computed Tomography in Chronic Kidney Disease Patients | abstract: This study aims to investigate whether acceptable image quality is achievable using low contrast media dose and low keV imaging in chronic kidney disease. | sponsor: Seoul National University Hospital | start_year: 2019.0 | drug_moa_id:  | drug_name:  | drug_description:  | adverse_event_name:  | adverse_event_description:  | intervention_type: OTHER | group_type: EXPERIMENTAL | intervention_name: low dose CT contrast media | intervention_description: CT contrast media (Ioversol 320mgI/kg) is administrated at a dose of 300mgI/kg in low dose group,"study_source: PubMed | population: Healthy Asian children born at term, aged 6, 18, and 24 months, from uncomplicated pregnancies (birth weight >2500 and <4000 g, gestational age ≥37 wk, and 5‐min Apgar score ≥9). Total population size is 408 children. | interventions: Breastfeeding (duration and exclusivity categorized into low, intermediate, and high groups) | outcomes: At 6 months, higher breastfeeding exposure was associated with better memory, indicated by greater preferential looking during relational binding task (P-trend = 0.015 and 0.050 for the first two 1000-ms time bins). | group_type: EXPERIMENTAL | primary_endpoint: memory development at 6 months | primary_endpoint_domain: Physiological/clinical | primary_endpoint_subdomain: General outcomes",0
NCT00140491,24117042,"study_source: ClinicalTrials.gov | trial_type: INTERVENTIONAL | title: Visual Field Defects in Non-Arteritic Anterior Ischemic Optic Neuropathy: Effect of Vision Restoration Therapy (VRT) | abstract: The goal of this pilot study is to evaluate the effect of Vision Restoration Therapy, VRT, on the visual function of patients with unilateral or bilateral AION, who have good central vision (at least 20/60) and altitudinal visual field defects. | sponsor: Emory University | start_year: 2005.0 | drug_moa_id:  | drug_name:  | drug_description:  | adverse_event_name:  | adverse_event_description:  | intervention_type:  | group_type:  | intervention_name:  | intervention_description:",study_source: PubMed | population: 130 newly diagnosed multiple myeloma (MM) patients from Grupo Español Multidisciplinar de Melanoma (GEM)2000/GEM05 trials | interventions: Fluorescent-PCR (F-PCR) | outcomes: Median progression-free survival (PFS) was 61 months for molecular response patients versus 36 months for non-molecular response patients (P = 0.001). | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:,0
NCT04210297,31106898,study_source: ClinicalTrials.gov | trial_type: OBSERVATIONAL | title: Development and Validation of an Noninvasive Model for Predicting High Risk Esophageal Varices in Cirrhosis | abstract: The aim of the study is to develop and validate a new noninvasive method based on routine examination during clinical practice for predicting high risk esophageal varices in cirrhosis. | sponsor: Qilu Hospital of Shandong University | start_year: 2018.0 | drug_moa_id:  | drug_name:  | drug_description:  | adverse_event_name:  | adverse_event_description:  | intervention_type:  | group_type:  | intervention_name:  | intervention_description:,"study_source: PubMed | population: Young children with sickle cell anemia (SCA), n = 50, median age 11 months (IQR 9-26 months) | interventions: Hydroxyurea, single oral dose of 20 mg/kg, followed by PK-guided dosing | outcomes: Time to maximum tolerated dose (MTD) was 4.8 months (IQR 3.3-9.3), significantly shorter than comparison studies (p < 0.0001) | group_type: EXPERIMENTAL | primary_endpoint:  | primary_endpoint_domain:  | primary_endpoint_subdomain:",0
